timestamp,username,source_ip,event_type,status
2026-08-10 09:01:12,admin,192.168.1.50,LOGIN_SUCCESS,Success
2026-08-10 09:02:01,admin,192.168.1.50,LOGIN_FAILED,Failed
2026-08-10 09:02:05,admin,192.168.1.50,LOGIN_FAILED,Failed
2026-08-10 09:02:08,admin,192.168.1.50,LOGIN_FAILED,Failed
2026-08-10 09:02:11,admin,192.168.1.50,LOGIN_FAILED,Failed
2026-08-10 09:05:22,john,192.168.1.101,LOGIN_SUCCESS,Success
2026-08-10 09:10:44,admin,10.10.10.55,LOGIN_FAILED,Failed
2026-08-10 09:10:48,admin,10.10.10.55,LOGIN_FAILED,Failed
2026-08-10 09:10:51,admin,10.10.10.55,LOGIN_FAILED,Failed
2026-08-10 09:15:33,mary,192.168.1.102,LOGIN_SUCCESS,Success
